Nome,Presenças no ano,Gênero,Total cota parlamentar usada (%),Cota disponivel gabinete
 GUTEMBERG REIS DE OLIVEIRA,82.0,M,100,11167559.0
 HAROLDO ALVES CAMPOS,39.0,M,100,11167559.0
 HEITOR RODRIGO PEREIRA FREIRE,81.0,M,100,11167559.0
 HEITOR JOSE SCHUCH,80.0,M,100,11167559.0
 HELDER IGNACIO SALOMAO,90.0,M,100,11167559.0
 HÉLIO FRANCISCO DA COSTA,88.0,M,100,11167559.0
 HELIO LEITE DA SILVA,88.0,M,100,11167559.0
 HELIO FERNANDO BARBOSA LOPES,87.0,M,100,11167559.0
 HENRIQUE FONTANA JÚNIOR,89.0,M,,
 HERCÍLIO ARAÚJO DINIZ FILHO,56.0,M,,11167559.0
 HERCULANO CASTILHO PASSOS JUNIOR,89.0,M,100,11167559.0
 HERMES PARCIANELLO,78.0,M,100,11167559.0
 HILDO AUGUSTO DA ROCHA NETO,90.0,M,100,11167559.0
 HIRAN MANUEL GONCALVES DA SILVA,78.0,M,100,11167559.0
 HUGO LEAL MELO DA SILVA,85.0,M,100,11167559.0
 HUGO MOTTA WANDERLEY DA NÓBREGA,80.0,M,100,11167559.0
 ANTONIO IDILVAN DE LIMA ALENCAR,85.0,M,100,11167559.0
 ANDERSON MACHADO DE JESUS,65.0,M,100,11167559.0
 IGOR TARCIANO TIMO,68.0,M,100,11167559.0
 ISNALDO BULHOES BARROS JUNIOR,58.0,M,100,11167559.0
 IVAN VALENTE,91.0,M,100,11167559.0
 JEFFERSON ALVES DE CAMPOS,90.0,M,100,11167559.0
 JERÔNIMO PIZZOLOTTO GOERGEN,71.0,M,100,11167559.0
 JESUS SERGIO DE MENEZES,82.0,M,100,11167559.0
 JOHNATHAN PEREIRA DE JESUS,89.0,M,100,11167559.0
 JOÃO CAMPOS DE ARAÚJO,91.0,M,100,11167559.0
 JOÃO CARLOS PAOLILO BACELAR FILHO,93.0,M,100,11167559.0
 JOAO SOMARIVA DANIEL,90.0,M,100,11167559.0
 JOÃO DA SILVA MAIA,89.0,M,100,11167559.0
 JOÃO MARCELO SANTOS SOUZA,40.0,M,100,11167559.0
 JOÃO INÁCIO RIBEIRO ROMA NETO,67.0,M,100,11167559.0
 JOAQUIM PASSARINHO PINTO DE SOUZA PORTO,91.0,M,100,11167559.0
 JONES BARBOSA DE MOURA,93.0,M,100,11167559.0
 JORGE BRAZ DE OLIVEIRA,91.0,M,100,11167559.0
 JORGE JOSE SANTOS PEREIRA SOLLA,87.0,M,100,11167559.0
 JOSÉ AIRTON FÉLIX CIRILO DA SILVA,81.0,M,100,11167559.0
 JOSÉ NOBRE GUIMARÃES,89.0,M,100,11167559.0
 JOSE MARIO SCHREINER,92.0,M,100,11167559.0
 JOSE ANTONIO DOS SANTOS MEDEIROS,93.0,M,100,11167559.0
 JOSÉ NELTO LAGARES DAS MERCEZ,78.0,M,100,11167559.0
 JOSÉ NUNES SOARES,39.0,M,100,11167559.0
 JOSÉ BENITO PRIANTE JÚNIOR,76.0,M,100,11167559.0
 JOSÉ RICARDO WENDLING,89.0,M,100,11167559.0
 JOSÉ ALVES ROCHA,82.0,M,100,11167559.0
 JOSEILDO RIBEIRO RAMOS,86.0,M,100,11167559.0
 JOSIAS GOMES DA SILVA,55.0,M,100,11167559.0
 JOSIMAR CUNHA RODRIGUES,41.0,M,100,11167559.0
 JOSIVALDO DOS SANTOS MELO,90.0,M,100,11167559.0
 JUAREZ ALVES DA COSTA,78.0,M,100,11167559.0
 GULLIEM CHARLES BEZERRA LEMOS,82.0,M,100,11167559.0
 JÚLIO CÉSAR DE CARVALHO LIMA,88.0,M,100,11167559.0
 JULIO CESAR RIBEIRO,89.0,M,100,11167559.0
 JÚLIO CÉSAR DELGADO,91.0,M,100,11167559.0
